ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006959	humoral immune response	18/291	320/18903	2.55691177453266e-06	0.000802870297203254	0.000672137477956097	GPI/PRTN3/SERPING1/ELANE/CTSG/GAPDH/C1QC/AZU1/C1QB/DEFA4/S100A9/H2BC12/VSIG4/PGLYRP1/TFE3/C1QA/IGHV3-30/S100A12	18
GO:0009615	response to virus	20/291	409/18903	5.94305442710452e-06	0.00164996189478652	0.00138129562215542	BNIP3L/H19/IFITM3/GBP1/IFIT3/AZU1/STAT1/HSPB1/AIM2/VAMP8/ENO1/CFL1/IFIT2/IL27/APOBEC3A/IRF1/NPC2/IFITM2/TLR7/MLKL	20
GO:1903037	regulation of leukocyte cell-cell adhesion	19/291	377/18903	6.64503778045666e-06	0.00164996189478652	0.00138129562215542	ELANE/CTSG/MYB/ZBTB7B/ST3GAL4/SMARCD3/SOCS1/CCR2/CD274/DUSP3/TNFSF13B/SLC7A1/VSIG4/IL18/BAD/IRF1/PDCD1LG2/ACTB/CEACAM1	19
GO:1903706	regulation of hemopoiesis	20/291	413/18903	6.86392461920273e-06	0.00164996189478652	0.00138129562215542	C1QC/MYB/STAT1/ZBTB7B/SMARCD3/H4C15/SOCS1/SLAMF8/CCR2/STAT3/IL18/PGLYRP1/IL27/BAD/TNFAIP6/IRF1/TFE3/ACTB/CEACAM1/FES	20
GO:0002697	regulation of immune effector process	19/291	379/18903	7.16543961256451e-06	0.00164996189478652	0.00138129562215542	GPI/FCGR1A/SERPING1/MYB/ZBTB7B/UBE2J1/SLAMF8/CCR2/FFAR2/VAMP8/VSIG4/NCF1/IL18/PGLYRP1/IL27/MAPKAPK2/CEACAM1/FES/TLR7	19
GO:0002523	leukocyte migration involved in inflammatory response	5/291	19/18903	8.13842329815614e-06	0.00175688212948946	0.00147080584210756	ELANE/S100A9/S100A8/SLAMF8/FFAR2	5
GO:1902105	regulation of leukocyte differentiation	17/291	317/18903	9.14493372845985e-06	0.00185803535871178	0.00155548810848788	C1QC/MYB/ZBTB7B/SMARCD3/SOCS1/SLAMF8/CCR2/IL18/PGLYRP1/IL27/BAD/TNFAIP6/IRF1/TFE3/ACTB/CEACAM1/FES	17
GO:0052548	regulation of endopeptidase activity	20/291	428/18903	1.15801616487583e-05	0.00222210435193395	0.00186027509059292	GPI/SERPING1/CST3/GAPDH/CTSD/S100A9/CST7/CARD16/S100A8/TNFSF10/AIM2/ATP13A2/PARK7/PSME2/SERPINB6/STAT3/BAD/PTTG1/GPX1/PSENEN	20
GO:0050830	defense response to Gram-positive bacterium	10/291	118/18903	1.44416710479511e-05	0.00249407658998115	0.00208796159835377	CTSG/GBP2/DEFA4/GBP4/CASP4/H2BC12/IL18/CRP/PGLYRP1/GBP6	10
GO:0071346	cellular response to interferon-gamma	10/291	118/18903	1.44416710479511e-05	0.00249407658998115	0.00208796159835377	GBP5/GBP1/GAPDH/STAT1/GBP2/ZYX/GBP4/SOCS1/IRF1/GBP6	10
GO:0030595	leukocyte chemotaxis	14/291	240/18903	2.25175957314584e-05	0.00330411478262714	0.00276609981040342	CTSG/AZU1/S100A9/S100A8/FCER1G/SLAMF8/CCR2/FFAR2/PADI2/SAA1/PIP5K1C/C3AR1/TNFAIP6/S100A12	14
GO:0002683	negative regulation of immune system process	20/291	449/18903	2.30744694070879e-05	0.00330411478262714	0.00276609981040342	GBP1/SERPING1/CTSG/C1QC/ZBTB7B/CST7/SOCS1/SLAMF8/CCR2/CD274/DUSP3/PADI2/VSIG4/TRAFD1/PGLYRP1/TNFAIP6/IRF1/PDCD1LG2/GPX1/CEACAM1	20
GO:0050863	regulation of T cell activation	18/291	376/18903	2.31736167600934e-05	0.00330411478262714	0.00276609981040342	CTSG/MYB/ZBTB7B/SMARCD3/SOCS1/CCR2/CD274/DUSP3/TNFSF13B/SLC7A1/VSIG4/IL18/IL27/BAD/IRF1/PDCD1LG2/ACTB/CEACAM1	18
GO:0031349	positive regulation of defense response	16/291	307/18903	2.3821294335701e-05	0.00330411478262714	0.00276609981040342	GBP5/FCGR1A/S100A9/MMP8/S100A8/CCR2/CASP4/AIM2/PARK7/FFAR2/VAMP8/IL18/LRRK2/LRSAM1/S100A12/TLR7	16
GO:0019730	antimicrobial humoral response	10/291	125/18903	2.39151330531785e-05	0.00330411478262714	0.00276609981040342	PRTN3/ELANE/CTSG/GAPDH/AZU1/DEFA4/S100A9/H2BC12/PGLYRP1/S100A12	10
GO:0016052	carbohydrate catabolic process	11/291	155/18903	2.89746224052347e-05	0.00357799086259161	0.00299538015406673	GPI/GAPDH/PGD/GK/ENO1/NAGA/ALDOA/STAT3/BAD/PYGL/ARL2	11
GO:0002292	T cell differentiation involved in immune response	8/291	79/18903	2.90051372763651e-05	0.00357799086259161	0.00299538015406673	MYB/ZBTB7B/CLEC4E/FCER1G/CLEC4D/STAT3/IL18/IL27	8
GO:0072524	pyridine-containing compound metabolic process	8/291	79/18903	2.90051372763651e-05	0.00357799086259161	0.00299538015406673	PGD/NNMT/G6PD/ALPL/IDH1/PARP10/PSAT1/TALDO1	8
GO:0052547	regulation of peptidase activity	20/291	459/18903	3.15226183414438e-05	0.00375445254314989	0.0031431082607603	GPI/SERPING1/CST3/GAPDH/CTSD/S100A9/CST7/CARD16/S100A8/TNFSF10/AIM2/ATP13A2/PARK7/PSME2/SERPINB6/STAT3/BAD/PTTG1/GPX1/PSENEN	20
GO:1990266	neutrophil migration	10/291	130/18903	3.35782497501644e-05	0.0038659758212356	0.00323647200223515	PRTN3/S100A9/S100A8/FCER1G/SLAMF8/SAA1/PIP5K1C/C3AR1/TNFAIP6/S100A12	10
GO:0032103	positive regulation of response to external stimulus	20/291	464/18903	3.67066201008172e-05	0.00408815582573063	0.0034224740356816	GBP5/FCGR1A/AZU1/S100A9/MMP8/S100A8/HSPB1/CCR2/CASP4/AIM2/PARK7/SCARF1/FFAR2/VAMP8/IL18/C3AR1/LRRK2/LRSAM1/S100A12/TLR7	20
GO:0060326	cell chemotaxis	16/291	319/18903	3.78752132088536e-05	0.00408815582573063	0.0034224740356816	CTSG/AZU1/S100A9/S100A8/HSPB1/FCER1G/SLAMF8/CCR2/FFAR2/PADI2/SAA1/PIP5K1C/C3AR1/TNFAIP6/CORO1B/S100A12	16
GO:0022409	positive regulation of cell-cell adhesion	16/291	322/18903	4.23703570540303e-05	0.00443476403832184	0.00371264340757324	ELANE/CTSG/MYB/ZBTB7B/CEACAM6/ST3GAL4/SMARCD3/SOCS1/CCR2/CD274/TNFSF13B/SLC7A1/IL18/BAD/PDCD1LG2/ACTB	16
GO:1903131	mononuclear cell differentiation	20/291	473/18903	4.79880029313772e-05	0.00467820268404299	0.00391644249933443	PRTN3/BATF2/MYB/ZBTB7B/SMARCD3/CLEC4E/SOCS1/FCER1G/SLAMF8/CCR2/CLEC4D/TNFSF13B/STAT3/IL18/PGLYRP1/IL27/BAD/IRF1/ACTB/FES	20
GO:0051231	spindle elongation	4/291	14/18903	4.87594952592784e-05	0.00467820268404299	0.00391644249933443	RACGAP1/KIF4A/KIF11/KIF23	4
GO:0051255	spindle midzone assembly	4/291	14/18903	4.87594952592784e-05	0.00467820268404299	0.00391644249933443	RACGAP1/KIF4A/KIF23/LZTS2	4
GO:0002366	leukocyte activation involved in immune response	15/291	293/18903	5.24377561200827e-05	0.00489513539564231	0.00409805166605596	MYB/ZBTB7B/DYSF/CLEC4E/FCER1G/CCR2/CLEC4D/VAMP8/STAT3/IL18/PGLYRP1/IL27/ANXA3/CEACAM1/FES	15
GO:0002695	negative regulation of leukocyte activation	12/291	198/18903	5.99443683871307e-05	0.00541469724171537	0.00453301231920036	CTSG/ZBTB7B/CST7/SOCS1/CCR2/CD274/DUSP3/VSIG4/PGLYRP1/IRF1/PDCD1LG2/CEACAM1	12
GO:0002263	cell activation involved in immune response	15/291	297/18903	6.11387355028661e-05	0.00541469724171537	0.00453301231920036	MYB/ZBTB7B/DYSF/CLEC4E/FCER1G/CCR2/CLEC4D/VAMP8/STAT3/IL18/PGLYRP1/IL27/ANXA3/CEACAM1/FES	15
GO:0045785	positive regulation of cell adhesion	20/291	484/18903	6.59104292258913e-05	0.00569136556365571	0.00476463023904009	ELANE/CTSG/AZU1/MYB/ZBTB7B/CEACAM6/ST3GAL4/SMARCD3/SOCS1/CCR2/CD274/TNFSF13B/SAA1/SLC7A1/IL18/BAD/TFE3/PDCD1LG2/ACTB/ARL2	20
GO:0022407	regulation of cell-cell adhesion	20/291	490/18903	7.8010009354256e-05	0.00653297488898996	0.00546919879927328	ELANE/CTSG/MYB/ZBTB7B/CEACAM6/ST3GAL4/SMARCD3/SOCS1/CCR2/CD274/DUSP3/TNFSF13B/SLC7A1/VSIG4/IL18/BAD/IRF1/PDCD1LG2/ACTB/CEACAM1	20
GO:0051607	defense response to virus	15/291	304/18903	7.94397641394263e-05	0.00653297488898996	0.00546919879927328	BNIP3L/IFITM3/GBP1/IFIT3/AZU1/STAT1/AIM2/VAMP8/IFIT2/IL27/APOBEC3A/IRF1/IFITM2/TLR7/MLKL	15
GO:0140546	defense response to symbiont	15/291	305/18903	8.24110004505322e-05	0.00661971152456135	0.00554181195196112	BNIP3L/IFITM3/GBP1/IFIT3/AZU1/STAT1/AIM2/VAMP8/IFIT2/IL27/APOBEC3A/IRF1/IFITM2/TLR7/MLKL	15
GO:0002286	T cell activation involved in immune response	9/291	118/18903	8.86213176706267e-05	0.0069567734371442	0.00582398946510075	MYB/ZBTB7B/CLEC4E/FCER1G/CLEC4D/STAT3/IL18/IL27/CEACAM1	9
GO:0019221	cytokine-mediated signaling pathway	20/291	496/18903	9.20437027943755e-05	0.00706486554337273	0.00591448073862338	IFITM3/CTSG/AGPAT1/STAT1/CARD16/SOCS1/FCER1G/CCR2/CASP4/AIM2/TNFSF13B/PADI2/NKIRAS2/STAT3/IL18/BAD/IRF1/DOK1/IFITM2/CEACAM1	20
GO:1903039	positive regulation of leukocyte cell-cell adhesion	14/291	275/18903	9.86043721217961e-05	0.00740390220236269	0.00619831144664929	ELANE/MYB/ZBTB7B/ST3GAL4/SMARCD3/SOCS1/CCR2/CD274/TNFSF13B/SLC7A1/IL18/BAD/PDCD1LG2/ACTB	14
GO:0097529	myeloid leukocyte migration	13/291	242/18903	0.000102082294042386	0.00750196263026388	0.00628040451812845	PRTN3/CTSG/AZU1/S100A9/S100A8/FCER1G/SLAMF8/CCR2/SAA1/PIP5K1C/C3AR1/TNFAIP6/S100A12	13
GO:0045619	regulation of lymphocyte differentiation	12/291	210/18903	0.00010523402775571	0.00757246524725466	0.00633942706677492	MYB/ZBTB7B/SMARCD3/SOCS1/SLAMF8/CCR2/IL18/PGLYRP1/IL27/BAD/IRF1/ACTB	12
GO:0035456	response to interferon-beta	5/291	32/18903	0.000119636331479764	0.00843314059043075	0.00705995709076075	IFITM3/STAT1/AIM2/IRF1/IFITM2	5
GO:0032732	positive regulation of interleukin-1 production	7/291	74/18903	0.000142125255841982	0.00981801267356411	0.00821932795364051	GBP5/AZU1/HSPB1/AIM2/SAA1/STAT3/ORM1	7
GO:0050900	leukocyte migration	17/291	398/18903	0.000157079860641502	0.0106383105618774	0.00890605525659867	PRTN3/ELANE/CTSG/AZU1/ST3GAL4/S100A9/S100A8/FCER1G/SLAMF8/CCR2/FFAR2/PADI2/SAA1/PIP5K1C/C3AR1/TNFAIP6/S100A12	17
GO:0002831	regulation of response to biotic stimulus	16/291	361/18903	0.000161012870771859	0.0106817828390219	0.0089424488644114	GBP5/SERPING1/STAT1/CARD16/SOCS1/SLAMF8/AIM2/FFAR2/CD274/VSIG4/NCF1/TRAFD1/IL27/IRF1/LRSAM1/CEACAM1	16
GO:0050868	negative regulation of T cell activation	9/291	128/18903	0.000165325845100168	0.0106817828390219	0.0089424488644114	CTSG/ZBTB7B/SOCS1/CD274/DUSP3/VSIG4/IRF1/PDCD1LG2/CEACAM1	9
GO:0050866	negative regulation of cell activation	12/291	221/18903	0.000169979748803162	0.0106817828390219	0.0089424488644114	CTSG/ZBTB7B/CST7/SOCS1/CCR2/CD274/DUSP3/VSIG4/PGLYRP1/IRF1/PDCD1LG2/CEACAM1	12
GO:0097530	granulocyte migration	10/291	158/18903	0.000172744985202567	0.0106817828390219	0.0089424488644114	PRTN3/S100A9/S100A8/FCER1G/SLAMF8/SAA1/PIP5K1C/C3AR1/TNFAIP6/S100A12	10
GO:0001906	cell killing	11/291	189/18903	0.000173184666758896	0.0106817828390219	0.0089424488644114	FCGR1A/ELANE/CTSG/GAPDH/AZU1/DEFA4/H2BC12/IL18/PGLYRP1/S100A12/CEACAM1	11
GO:2001185	regulation of CD8-positive, alpha-beta T cell activation	4/291	19/18903	0.000177672132049403	0.0107663077912042	0.00901321046610729	ZBTB7B/SOCS1/CD274/IRF1	4
GO:0032612	interleukin-1 production	9/291	130/18903	0.000185915512154231	0.0108839352369612	0.0091116844226168	GBP5/AZU1/CARD16/HSPB1/AIM2/SAA1/STAT3/ORM1/CEACAM1	9
GO:0032652	regulation of interleukin-1 production	9/291	130/18903	0.000185915512154231	0.0108839352369612	0.0091116844226168	GBP5/AZU1/CARD16/HSPB1/AIM2/SAA1/STAT3/ORM1/CEACAM1	9
GO:0009132	nucleoside diphosphate metabolic process	9/291	132/18903	0.000208596723077199	0.0120082180251441	0.0100528982156678	GPI/GAPDH/NME4/RRM2/ENO1/ALDOA/STAT3/BAD/ARL2	9
GO:0030217	T cell differentiation	14/291	296/18903	0.000212420030467048	0.0120278489382489	0.0100693325917684	MYB/ZBTB7B/SMARCD3/CLEC4E/SOCS1/FCER1G/CCR2/CLEC4D/STAT3/IL18/IL27/BAD/IRF1/ACTB	14
GO:0035455	response to interferon-alpha	4/291	20/18903	0.000219411413738226	0.012043547625088	0.0100824750331017	IFITM3/IFIT3/IFIT2/IFITM2	4
GO:0032760	positive regulation of tumor necrosis factor production	8/291	105/18903	0.000219670961314576	0.012043547625088	0.0100824750331017	AZU1/MMP8/HSPB1/CCR2/STAT3/LRRK2/ORM1/MAPKAPK2	8
GO:0030593	neutrophil chemotaxis	8/291	106/18903	0.000234483571572405	0.0126096856712812	0.0105564277996555	S100A9/S100A8/FCER1G/SAA1/PIP5K1C/C3AR1/TNFAIP6/S100A12	8
GO:0006749	glutathione metabolic process	6/291	57/18903	0.000237298659129496	0.0126096856712812	0.0105564277996555	GSTO1/G6PD/PARK7/GPX4/IDH1/GPX1	6
GO:0002444	myeloid leukocyte mediated immunity	8/291	107/18903	0.000250104756894384	0.0129198265722666	0.0108160678980941	FCGR1A/ELANE/CTSG/AZU1/CCR2/VAMP8/ANXA3/FES	8
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	7/291	81/18903	0.000250616207394864	0.0129198265722666	0.0108160678980941	ELANE/GAPDH/DEFA4/S100A9/H2BC12/PGLYRP1/S100A12	7
GO:0051250	negative regulation of lymphocyte activation	10/291	166/18903	0.000257897396896079	0.0130996707188096	0.0109666276977326	CTSG/ZBTB7B/SOCS1/CD274/DUSP3/VSIG4/PGLYRP1/IRF1/PDCD1LG2/CEACAM1	10
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	8/291	109/18903	0.000283906701608844	0.0141662445278838	0.0118595293688772	AZU1/MMP8/HSPB1/CCR2/STAT3/LRRK2/ORM1/MAPKAPK2	8
GO:0030098	lymphocyte differentiation	17/291	419/18903	0.000287098180935688	0.0141662445278838	0.0118595293688772	MYB/ZBTB7B/SMARCD3/CLEC4E/SOCS1/FCER1G/SLAMF8/CCR2/CLEC4D/TNFSF13B/STAT3/IL18/PGLYRP1/IL27/BAD/IRF1/ACTB	17
GO:0072593	reactive oxygen species metabolic process	12/291	235/18903	0.000299230240415543	0.0143547395888234	0.0120173314389108	H19/MPO/MMP8/G6PD/FOXM1/PARK7/NCF4/NCF1/NCF1C/CRP/LRRK2/GPX1	12
GO:2000116	regulation of cysteine-type endopeptidase activity	12/291	235/18903	0.000299230240415543	0.0143547395888234	0.0120173314389108	GPI/CST3/CTSD/S100A9/CST7/CARD16/S100A8/TNFSF10/AIM2/PARK7/BAD/GPX1	12
GO:0044403	biological process involved in symbiotic interaction	14/291	307/18903	0.00030813492646047	0.0145794251506091	0.012205431045233	IFITM3/ELANE/CTSG/GAPDH/AZU1/VAMP8/CFL1/SLC7A1/PGLYRP1/RNASEK/SNX3/GPX1/IFITM2/CLEC5A	14
GO:0045730	respiratory burst	5/291	39/18903	0.000313257008761538	0.0146214825440858	0.0122406401574387	MPO/SLAMF8/NCF4/NCF1/NCF1C	5
GO:0000070	mitotic sister chromatid segregation	11/291	204/18903	0.000334982331632359	0.0154270529794422	0.0129150381051802	BUB1B/SMARCD3/RACGAP1/KIF4A/SPC24/PTTG1/KIF11/ACTB/ESCO2/KIF23/UBE2C	11
GO:2001242	regulation of intrinsic apoptotic signaling pathway	10/291	172/18903	0.000342721141571305	0.0155286121802111	0.0130000602380275	OPA1/S100A9/S100A8/DDIAS/HSPB1/PARK7/ENO1/BAD/LRRK2/GPX1	10
GO:0000819	sister chromatid segregation	12/291	239/18903	0.00034875663807221	0.0155286121802111	0.0130000602380275	BUB1B/SMARCD3/RACGAP1/KIF4A/RMI2/SPC24/PTTG1/KIF11/ACTB/ESCO2/KIF23/UBE2C	12
GO:0006882	cellular zinc ion homeostasis	5/291	40/18903	0.000353544673557738	0.0155286121802111	0.0130000602380275	S100A9/S100A8/ATP13A2/SLC39A8/MT2A	5
GO:0050867	positive regulation of cell activation	18/291	467/18903	0.000355170921319245	0.0155286121802111	0.0130000602380275	MYB/ZBTB7B/MMP8/SMARCD3/SOCS1/CCR2/CLEC4D/CD274/VAMP8/TNFSF13B/SLC7A1/IL18/BAD/LRRK2/PLEK/IGHV3-30/PDCD1LG2/ACTB	18
GO:0002526	acute inflammatory response	8/291	114/18903	0.00038499572540173	0.0160491123780892	0.0134358064494594	FCGR1A/ELANE/S100A8/PARK7/FFAR2/SAA1/CRP/ORM1	8
GO:0009185	ribonucleoside diphosphate metabolic process	8/291	114/18903	0.00038499572540173	0.0160491123780892	0.0134358064494594	GPI/GAPDH/RRM2/ENO1/ALDOA/STAT3/BAD/ARL2	8
GO:0006909	phagocytosis	14/291	314/18903	0.000386615884736591	0.0160491123780892	0.0134358064494594	FCGR1A/PRTN3/MARCO/ELANE/CEBPE/AZU1/DYSF/FCER1G/NCF4/PIP5K1C/CRP/ANXA3/SNX3/IGHV3-30	14
GO:0150146	cell junction disassembly	4/291	23/18903	0.000386686863665211	0.0160491123780892	0.0134358064494594	C1QC/C1QB/DUSP3/C1QA	4
GO:0009205	purine ribonucleoside triphosphate metabolic process	12/291	242/18903	0.00039030846547756	0.0160491123780892	0.0134358064494594	OPA1/H19/GPI/GAPDH/NME4/ENO1/ALDOA/STAT3/BAD/LRRK2/VPS9D1/ARL2	12
GO:0046634	regulation of alpha-beta T cell activation	8/291	115/18903	0.000408355840135554	0.0165218627635098	0.0138315780365591	MYB/ZBTB7B/SOCS1/CCR2/CD274/IL18/IL27/IRF1	8
GO:0032731	positive regulation of interleukin-1 beta production	6/291	63/18903	0.000411372379172509	0.0165218627635098	0.0138315780365591	GBP5/AZU1/HSPB1/AIM2/STAT3/ORM1	6
GO:0046916	cellular transition metal ion homeostasis	8/291	116/18903	0.000432855361186317	0.0171848553739947	0.01438661436393	FTH1/S100A9/S100A8/ERFE/ATP13A2/SLC39A8/MT2A/ATP6V0D1	8
GO:0051258	protein polymerization	13/291	281/18903	0.000438471629483858	0.0172100114572414	0.0144076742367483	MSRB2/EML2/MSRB1/PSTPIP2/GPX4/CAPZB/STMN2/ARPC4/ARL2/CAPG/FES/CENPJ/UBE2C	13
GO:0055069	zinc ion homeostasis	5/291	42/18903	0.000445740659344253	0.0172669577324016	0.0144553478471664	S100A9/S100A8/ATP13A2/SLC39A8/MT2A	5
GO:0032102	negative regulation of response to external stimulus	17/291	436/18903	0.000452778224187806	0.0172669577324016	0.0144553478471664	SERPING1/ELANE/SOCS3/CST7/CARD16/SLAMF8/DUSP3/PADI2/SAA1/VSIG4/TRAFD1/PGLYRP1/TNFAIP6/KREMEN1/GPX1/CORO1B/CEACAM1	17
GO:0035458	cellular response to interferon-beta	4/291	24/18903	0.000458438498777851	0.0172669577324016	0.0144553478471664	STAT1/AIM2/IRF1/IFITM2	4
GO:1903038	negative regulation of leukocyte cell-cell adhesion	9/291	147/18903	0.000463221960489727	0.0172669577324016	0.0144553478471664	CTSG/ZBTB7B/SOCS1/CD274/DUSP3/VSIG4/IRF1/PDCD1LG2/CEACAM1	9
GO:0009144	purine nucleoside triphosphate metabolic process	12/291	247/18903	0.000468855482138223	0.0172669577324016	0.0144553478471664	OPA1/H19/GPI/GAPDH/NME4/ENO1/ALDOA/STAT3/BAD/LRRK2/VPS9D1/ARL2	12
GO:0045580	regulation of T cell differentiation	10/291	179/18903	0.000469917205224594	0.0172669577324016	0.0144553478471664	MYB/ZBTB7B/SMARCD3/SOCS1/CCR2/IL18/IL27/BAD/IRF1/ACTB	10
GO:0005996	monosaccharide metabolic process	12/291	248/18903	0.00048606620411474	0.0176723438843401	0.0147947242404786	GPI/GAPDH/GSTO1/PGD/PFKFB3/NNMT/ATF4/G6PD/ERFE/ENO1/ALDOA/BAD	12
GO:0009199	ribonucleoside triphosphate metabolic process	12/291	249/18903	0.000503806389448939	0.0181265340537149	0.0151749578050026	OPA1/H19/GPI/GAPDH/NME4/ENO1/ALDOA/STAT3/BAD/LRRK2/VPS9D1/ARL2	12
GO:0042129	regulation of T cell proliferation	10/291	182/18903	0.000535309874268349	0.0183438953469295	0.0153569257666216	ZBTB7B/CCR2/CD274/TNFSF13B/SLC7A1/VSIG4/IL18/IL27/IRF1/PDCD1LG2	10
GO:0010821	regulation of mitochondrion organization	9/291	150/18903	0.000536569870451908	0.0183438953469295	0.0153569257666216	OPA1/BNIP3L/TNFSF10/ATP13A2/PARK7/BAD/LRRK2/SREBF2/GPX1	9
GO:0050870	positive regulation of T cell activation	12/291	251/18903	0.000540926827899161	0.0183438953469295	0.0153569257666216	MYB/ZBTB7B/SMARCD3/SOCS1/CCR2/CD274/TNFSF13B/SLC7A1/IL18/BAD/PDCD1LG2/ACTB	12
GO:0051256	mitotic spindle midzone assembly	3/291	11/18903	0.000543646942444899	0.0183438953469295	0.0153569257666216	RACGAP1/KIF4A/KIF23	3
GO:0070944	neutrophil-mediated killing of bacterium	3/291	11/18903	0.000543646942444899	0.0183438953469295	0.0153569257666216	ELANE/CTSG/AZU1	3
GO:0098883	synapse pruning	3/291	11/18903	0.000543646942444899	0.0183438953469295	0.0153569257666216	C1QC/C1QB/C1QA	3
GO:0046031	ADP metabolic process	7/291	92/18903	0.000547024094016717	0.0183438953469295	0.0153569257666216	GPI/GAPDH/ENO1/ALDOA/STAT3/BAD/ARL2	7
GO:0046640	regulation of alpha-beta T cell proliferation	5/291	44/18903	0.000554973369295513	0.0184315193994875	0.0154302818365868	ZBTB7B/CCR2/CD274/IL18/IRF1	5
GO:0030099	myeloid cell differentiation	16/291	407/18903	0.000606797991475886	0.0199607644053115	0.0167105171186392	PRTN3/BATF2/C1QC/CEBPE/MYB/STAT1/H4C15/G6PD/SOCS1/STAT3/TNFAIP6/ALAS1/TFE3/CLEC5A/CEACAM1/FES	16
GO:0002696	positive regulation of leukocyte activation	17/291	450/18903	0.000645765670214033	0.0210422134426346	0.0176158718577751	MYB/ZBTB7B/MMP8/SMARCD3/SOCS1/CCR2/CLEC4D/CD274/VAMP8/TNFSF13B/SLC7A1/IL18/BAD/LRRK2/IGHV3-30/PDCD1LG2/ACTB	17
GO:0050922	negative regulation of chemotaxis	6/291	69/18903	0.000672066455567405	0.0216945564255123	0.0181619926556189	ELANE/SLAMF8/DUSP3/PADI2/TNFAIP6/CORO1B	6
GO:0031640	killing of cells of another organism	5/291	46/18903	0.000683161821770719	0.0218485271518154	0.0182908920507229	GAPDH/DEFA4/H2BC12/PGLYRP1/S100A12	5
GO:0000022	mitotic spindle elongation	3/291	12/18903	0.000716627222843545	0.0220330521175256	0.0184453704832971	RACGAP1/KIF4A/KIF23	3
GO:0070943	neutrophil-mediated killing of symbiont cell	3/291	12/18903	0.000716627222843545	0.0220330521175256	0.0184453704832971	ELANE/CTSG/AZU1	3
